"G615","DXB","BOM","07:00:00","10:15:00","DAILY","03:15:00"
"G615","BOM","DXB","11:30:00","14:45:00","DAILY","03:15:00"
"G725","DXB","SYD","07:00:00","20:45:00","SUN/TUES/THUR","13:45:00"
"G725","SYD","DXB","22:00:00","11:45:00","SUN/TUES/THUR","13:45:00"
"G799","DXB","BOM","12:00:00","15:15:00","MON/WED/FRI","03:15:00"
"G799","BOM","SYD","16:30:00","04:00:00","MON/WED/FRI","12:00:00"
"G799","SYD","BOM","05:15:00","17:15:00","TUES/THUR/SAT","12:00:00"
"G799","BOM","DXB","18:30:00","21:45:00","TUES/THURS/SAT","03:15:00"
"G219","DXB","LHR","05:00:00","13:10:00","DAILY","08:10:00"
"G219","LHR","DXB","14:25:00","22:35:00","DAILY","08:10:00"
"G125","DXB","JFK","02:00:00","15:00:00","SUN/TUES/THUR","13:00:00"
"G125","JFK","DXB","16:15:00","05:15:00","SUN/TUES/THUR","13:00:00"
"G756","DXB","LHR","08:00:00","16:10:00","MON/WED/FRI","08:10:00"
"G756","LHR","JFK","17:25:00","01:25:00","MON/WED/FRI","08:00:00"
"G756","JFK","LHR","02:40:00","10:40:00","TUES/THUR/SAT","08:00:00"
"G756","LHR","DXB","11:55:00","20:05:00","TUES/THUR/SAT","08:10:00"
"G559","DXB","BOM",NULL,NULL,NULL,NULL
"G559","BOM","DXB",NULL,NULL,NULL,NULL
"G310","DXB","SYD",NULL,NULL,NULL,NULL
"G310","SYD","DXB",NULL,NULL,NULL,NULL
"G281","DXB","BOM",NULL,NULL,NULL,NULL
"G281","BOM","SYD",NULL,NULL,NULL,NULL
"G281","SYD","BOM",NULL,NULL,NULL,NULL
"G281","BOM","DXB",NULL,NULL,NULL,NULL
"G993","DXB","LHR",NULL,NULL,NULL,NULL
"G993","LHR","DXB",NULL,NULL,NULL,NULL
"G635","DXB","JFK",NULL,NULL,NULL,NULL
"G635","JFK","DXB",NULL,NULL,NULL,NULL
"G498","DXB","LHR",NULL,NULL,NULL,NULL
"G498","LHR","JFK",NULL,NULL,NULL,NULL
"G498","JFK","LHR",NULL,NULL,NULL,NULL
"G498","LHR","DXB",NULL,NULL,NULL,NULL
